"AVERAGE ULP TGPS
(inclusive of GST)",Sydney,Melbourne,Brisbane,Adelaide,Perth,Darwin,Hobart,"National
Average"
"Thursday, 1 January 2004",86.3,85.1,86.4,87.2,88.5,89.7,87.9,86.4
"Friday, 2 January 2004",86.3,85.1,86.4,87.2,88.5,89.7,87.9,86.4
"Monday, 5 January 2004",86.4,85.3,86.4,87.2,89.0,89.7,87.9,86.5
"Tuesday, 6 January 2004",86.8,85.6,87.0,87.7,89.1,90.3,88.5,86.9
"Wednesday, 7 January 2004",86.7,85.5,87.0,87.7,89.1,90.3,88.5,86.8
"Thursday, 8 January 2004",86.7,85.7,87.0,87.7,90.0,90.3,88.5,87.0
"Friday, 9 January 2004",87.7,86.3,88.3,88.8,90.4,91.7,89.8,87.9
"Monday, 12 January 2004",87.8,86.5,88.3,88.8,90.8,91.7,89.8,88.0
"Tuesday, 13 January 2004",88.9,87.5,89.3,89.8,91.4,92.7,90.8,89.0
"Wednesday, 14 January 2004",89.0,87.8,89.3,89.8,91.4,92.7,90.8,89.1
"Thursday, 15 January 2004",89.0,88.0,89.3,89.8,92.1,92.7,90.8,89.3
"Friday, 16 January 2004",90.1,88.8,90.7,91.2,92.8,94.1,92.2,90.4
"Monday, 19 January 2004",90.2,88.9,90.7,91.2,92.7,94.1,92.2,90.4
"Tuesday, 20 January 2004",90.1,88.8,90.5,91.0,92.6,93.9,92.0,90.2
"Wednesday, 21 January 2004",89.9,88.5,90.5,91.0,92.6,93.9,92.0,90.1
"Thursday, 22 January 2004",89.9,88.3,90.5,91.0,91.8,93.9,92.0,90.0
"Friday, 23 January 2004",88.7,87.4,89.0,89.6,91.2,92.4,90.5,88.8
"Monday, 26 January 2004",88.6,87.0,89.0,89.6,91.2,92.4,90.5,88.7
"Tuesday, 27 January 2004",88.6,87.0,89.0,89.6,91.2,92.4,90.5,88.7
"Wednesday, 28 January 2004",87.5,85.9,87.9,88.5,90.3,91.3,89.4,87.6
"Thursday, 29 January 2004",87.5,85.8,87.9,88.5,89.3,91.3,89.4,87.5
"Friday, 30 January 2004",86.4,85.0,86.6,87.2,88.8,90.0,88.1,86.5
"Monday, 2 February 2004",86.2,84.8,86.6,87.2,88.8,90.0,88.1,86.4
"Tuesday, 3 February 2004",85.6,84.1,86.2,86.8,88.5,89.6,87.8,85.8
"Wednesday, 4 February 2004",85.6,84.0,86.2,86.8,88.5,89.6,87.8,85.8
"Thursday, 5 February 2004",85.7,84.0,86.2,86.8,87.7,89.6,87.8,85.8
"Friday, 6 February 2004",85.1,83.6,85.4,86.0,87.4,88.7,87.0,85.2
"Monday, 9 February 2004",85.0,83.5,85.4,86.0,87.1,88.7,87.0,85.1
"Tuesday, 10 February 2004",84.4,82.9,84.9,85.5,86.8,88.2,86.4,84.5
"Wednesday, 11 February 2004",84.3,82.6,84.9,85.5,86.8,88.2,86.4,84.4
"Thursday, 12 February 2004",84.3,82.6,84.9,85.5,86.0,88.2,86.4,84.3
"Friday, 13 February 2004",83.2,81.7,83.4,84.0,85.2,86.7,85.0,83.2
"Monday, 16 February 2004",83.0,81.4,83.4,84.0,84.9,86.7,85.0,83.0
"Tuesday, 17 February 2004",82.4,80.9,82.7,83.3,84.5,86.0,84.3,82.5
"Wednesday, 18 February 2004",82.5,81.0,82.7,83.3,84.5,86.0,84.3,82.5
"Thursday, 19 February 2004",82.5,81.0,82.7,83.3,84.6,86.0,84.3,82.5
"Friday, 20 February 2004",82.8,81.3,83.0,83.6,84.8,86.3,84.6,82.8
"Monday, 23 February 2004",82.9,81.7,83.0,83.6,85.3,86.3,84.6,83.0
"Tuesday, 24 February 2004",84.1,82.7,84.2,84.8,85.8,87.4,85.8,84.1
"Wednesday, 25 February 2004",84.2,83.1,84.2,84.8,85.8,87.4,85.8,84.2
"Thursday, 26 February 2004",84.4,83.4,84.2,84.8,87.0,87.4,85.8,84.4
"Friday, 27 February 2004",86.4,85.2,86.3,87.0,87.4,89.6,88.0,86.3
"Monday, 1 March 2004",86.4,85.2,86.3,87.0,89.2,89.6,88.0,86.5
"Tuesday, 2 March 2004",87.7,86.3,87.7,88.4,90.1,91.0,89.4,87.7
"Wednesday, 3 March 2004",87.5,86.3,87.7,88.4,90.1,91.0,89.4,87.6
"Thursday, 4 March 2004",87.6,86.5,87.7,88.4,90.7,91.0,89.4,87.8
"Friday, 5 March 2004",88.5,87.2,88.9,89.6,91.2,92.2,90.6,88.7
"Monday, 8 March 2004",88.6,87.3,88.9,89.6,91.6,92.2,90.6,88.8
"Tuesday, 9 March 2004",88.8,87.2,89.1,89.8,91.6,92.5,90.8,88.9
"Wednesday, 10 March 2004",89.3,87.7,89.8,90.5,92.1,93.1,91.5,89.5
"Thursday, 11 March 2004",89.3,87.9,89.8,90.5,92.3,93.1,91.5,89.6
"Friday, 12 March 2004",89.5,88.2,90.1,90.7,92.4,93.4,91.7,89.8
"Monday, 15 March 2004",89.5,88.2,90.1,90.7,92.6,93.4,91.7,89.8
"Tuesday, 16 March 2004",89.7,88.5,90.4,91.1,92.8,93.8,92.1,90.1
"Wednesday, 17 March 2004",89.9,88.8,90.4,91.1,92.8,93.8,92.1,90.2
"Thursday, 18 March 2004",89.9,88.7,90.4,91.1,92.7,93.8,92.1,90.2
"Friday, 19 March 2004",89.8,88.7,90.3,90.9,92.7,93.6,91.9,90.1
"Monday, 22 March 2004",90.1,88.9,90.7,91.2,92.7,94.2,92.0,90.3
"Tuesday, 23 March 2004",90.1,89.0,90.7,91.2,91.7,94.3,92.1,90.3
"Wednesday, 24 March 2004",90.1,88.9,90.7,91.2,91.7,94.3,92.1,90.2
"Thursday, 25 March 2004",90.1,88.8,90.7,91.2,91.4,94.3,92.1,90.2
"Friday, 26 March 2004",89.6,88.6,90.1,90.6,92.1,93.7,91.5,89.9
"Monday, 29 March 2004",89.6,88.6,90.1,90.6,92.1,93.7,91.5,89.9
"Tuesday, 30 March 2004",89.6,88.4,90.0,90.6,91.5,93.7,91.4,89.8
"Wednesday, 31 March 2004",89.6,88.4,90.0,90.6,91.5,93.7,91.4,89.7
"Thursday, 1 April 2004",89.6,88.4,90.0,90.6,91.7,93.7,91.4,89.8
"Friday, 2 April 2004",89.9,88.8,90.3,90.8,91.8,94.0,91.6,90.0
"Monday, 5 April 2004",89.9,88.8,90.3,90.8,91.7,94.0,91.6,90.0
"Tuesday, 6 April 2004",89.6,88.4,90.1,90.6,91.6,93.8,91.3,89.8
"Wednesday, 7 April 2004",89.6,88.4,90.1,90.6,91.6,93.8,91.3,89.7
"Thursday, 8 April 2004",89.6,88.3,90.1,90.6,91.4,93.8,91.3,89.7
"Friday, 9 April 2004",89.1,87.9,89.6,90.1,91.2,93.3,90.9,89.3
"Monday, 12 April 2004",89.1,87.9,89.6,90.1,91.2,93.3,90.9,89.3
"Tuesday, 13 April 2004",89.1,87.9,89.6,90.1,91.2,93.3,90.9,89.3
"Wednesday, 14 April 2004",89.1,87.8,89.6,90.1,91.2,93.3,90.9,89.3
"Thursday, 15 April 2004",88.9,87.6,89.4,89.9,90.6,93.1,90.7,89.0
"Friday, 16 April 2004",88.7,87.4,89.0,89.5,90.6,92.7,90.2,88.8
"Monday, 19 April 2004",88.7,87.5,89.0,89.5,90.8,92.7,90.2,88.8
"Tuesday, 20 April 2004",89.1,88.0,89.4,89.9,91.1,93.2,90.7,89.2
"Wednesday, 21 April 2004",89.1,88.1,89.4,89.9,91.1,93.2,90.7,89.3
"Thursday, 22 April 2004",89.1,88.1,89.4,89.9,91.3,93.2,90.7,89.3
"Friday, 23 April 2004",89.5,88.5,89.8,90.3,91.5,93.6,91.1,89.7
"Monday, 26 April 2004",89.5,88.6,89.8,90.3,91.5,93.6,91.1,89.7
"Tuesday, 27 April 2004",89.5,88.6,89.8,90.3,91.8,93.6,91.1,89.7
"Wednesday, 28 April 2004",89.9,89.0,90.4,90.9,92.0,94.2,91.6,90.1
"Thursday, 29 April 2004",89.9,89.0,90.4,90.9,92.2,94.2,91.6,90.2
"Friday, 30 April 2004",90.2,89.2,90.7,91.1,92.3,94.5,92.0,90.4
"Monday, 3 May 2004",90.2,89.4,90.7,91.1,92.9,94.5,92.0,90.5
"Tuesday, 4 May 2004",91.1,90.3,91.7,92.2,93.4,95.6,93.0,91.4
"Wednesday, 5 May 2004",91.1,90.6,91.7,92.2,93.4,95.6,93.0,91.5
"Thursday, 6 May 2004",91.1,90.9,91.7,92.2,93.6,95.6,93.0,91.6
"Friday, 7 May 2004",93.0,92.3,93.7,94.2,94.7,97.6,95.1,93.3
"Monday, 10 May 2004",93.0,92.6,93.7,94.2,96.1,97.6,95.1,93.6
"Tuesday, 11 May 2004",94.7,93.7,95.5,96.0,97.0,99.4,96.9,95.0
"Wednesday, 12 May 2004",94.7,94.0,95.5,96.0,97.0,99.4,96.9,95.1
"Thursday, 13 May 2004",94.7,93.9,95.5,96.0,97.7,99.4,96.9,95.1
"Friday, 14 May 2004",95.8,94.7,96.7,97.2,98.3,100.7,98.1,96.2
"Monday, 17 May 2004",95.8,94.8,96.7,97.2,98.6,100.7,98.1,96.2
"Tuesday, 18 May 2004",96.5,95.5,97.4,97.9,99.0,101.4,98.8,96.9
"Wednesday, 19 May 2004",96.5,95.6,97.4,97.9,99.0,101.4,98.8,96.9
"Thursday, 20 May 2004",96.5,95.7,97.4,97.9,99.6,101.4,98.8,97.0
"Friday, 21 May 2004",98.0,96.8,98.6,99.2,100.2,102.6,100.1,98.2
"Monday, 24 May 2004",98.0,97.0,98.6,99.2,100.8,102.6,100.1,98.3
"Tuesday, 25 May 2004",99.2,97.9,99.9,100.4,101.5,103.8,101.3,99.4
"Wednesday, 26 May 2004",99.2,98.0,99.9,100.4,101.5,103.8,101.3,99.4
"Thursday, 27 May 2004",99.2,98.0,99.9,100.4,101.5,103.8,101.3,99.5
